Player_ID,Full_Name,Birthdate,Nationality,Nation_ID,Position,Jersey_Number,Team_ID,Year_Joined_Club,Debut_Career,   Market_Value_In_Millions   
50,Lucien Agoumé,2/9/2002,French,14,Midfielder,18,10,2024,2019,6000000
51,Dušan Vlahović,1/28/2000,Serbian,27,Forward,9,11,2022,2016,65000000
52,Weston McKennie,8/28/1998,American,1,Midfielder,16,11,2021,2017,28000000
53,Khéphren Thuram,3/26/2001,French,14,Midfielder,19,11,2024,2019,35000000
54,Federico Chiesa,10/25/1997,Italian,18,Forward,7,11,2022,2016,35000000
55,Pierre Kalulu,6/5/2000,French,14,Defender,15,11,2024,2020,20000000
56,Álvaro Morata,10/23/1992,Spanish,29,Forward,7,12,2024,2010,16000000
57,Christian Pulisic,9/18/1998,American,1,Forward,11,12,2023,2016,40000000
58,Rafael Leão,6/10/1999,Portuguese,24,Forward,10,12,2019,2017,90000000
59,Fikayo Tomori,12/19/1997,English,13,Defender,23,12,2021,2016,40000000
60,Samuel Chukwueze,5/22/1999,Nigerian,21,Forward,21,12,2023,2017,20000000
61,Victor Osimhen,12/29/1998,Nigerian,21,Forward,9,13,2020,2017,100000000
62,Michael Folorunsho,2/7/1998,Nigerian,21,Midfielder,90,13,2019,2017,8500000
63,Khvicha Kvaratskhelia,2/12/2001,Georgian,15,Forward,77,13,2022,2017,80000000
64,Giovanni Di Lorenzo,8/4/1993,Italian,18,Defender,22,13,2019,2010,15000000
65,Lautaro Martínez,8/22/1997,Argentine,2,Forward,10,14,2018,2015,110000000
66,Marcus Thuram,8/6/1997,French,14,Forward,9,14,2023,2017,65000000
67,Denzel Dumfries,4/18/1996,Dutch,10,Midfielder,2,14,2021,2014,24000000
68,Piotr Zieliński,5/20/1994,Polish,23,Midfielder,7,14,2024,2012,22000000
69,Xavi Simons,4/21/2003,Dutch,10,Midfielder,10,15,2023,2021,80000000
70,Mohamed Simakan,5/3/2000,French,14,Defender,2,15,2021,2017,35000000
71,André Silva,11/6/1995,Portuguese,24,Forward,19,15,2021,2015,6000000
72,Arthur Vermeeren,2/7/2005,Dutch,10,Midfielder,18,15,2024,2022,25000000
73,Michael Olise,12/12/2001,French,14,Forward,17,16,2024,2019,55000000
74,Harry Kane,7/28/1993,English,13,Forward,9,16,2023,2011,100000000
75,João Palhinha,7/9/1995,Portuguese,24,Midfielder,16,16,2024,2013,55000000
76,Alphonso Davies,11/2/2000,Canadian,6,Defender,19,16,2019,2016,50000000
77,Jamal Musiala,2/26/2003,German,16,Forward,42,16,2020,2020,130000000
78,Dayot Upamecano,10/27/1998,French,14,Defender,2,16,2021,2015,45000000
79,Min-jae-Kim,11/15/1996,South Korean,28,Defender,3,16,2023,2016,45000000
80,Kingsley  Coman,6/13/1996,French,14,Forward,11,16,2017,2013,50000000
81,Jeremie Frimpong,12/10/2000,Dutch,10,Defender,30,17,2021,2019,50000000
82,Victor Boniface,12/23/2000,Nigerian,21,Forward,22,17,2023,2019,40000000
83,Granit Xhaka,9/27/1992,Swiss,30,Midfielder,34,17,2023,2010,20000000
84,Florian Wirtz,5/3/2003,German,16,Midfielder,10,17,2020,2020,130000000
85,Karim Adeyemi,1/18/2002,German,16,Forward,27,18,2022,2018,28000000
86,Youssoufa Moukoko,11/20/2004,German,16,Forward,18,18,2020,2020,22000000
87,Sébastien Haller,6/22/1994,Ivorian,19,Forward,9,18,2022,2012,10000000
88,Niklas Süle,9/3/1995,German,16,Defender,25,18,2022,2013,15000000
89,Bradley Barcola,9/2/2002,French,14,Forward,29,19,2023,2022,50000000
90,Ousmane Dembélé,5/15/1997,French,14,Forward,10,19,2023,2015,60000000
91,Achraf Hakimi,11/4/1998,Moroccan,20,Defender,2,19,2021,2016,60000000
92,Kang-in Lee,2/19/2001,South Korean,28,Midfielder,19,19,2023,2018,25000000
93,Marco Asensio,1/21/1996,Spanish,29,Midfielder,11,19,2023,2013,20000000
94,Fabián Ruiz,4/3/1996,Spanish,29,Midfielder,8,19,2022,2014,35000000
95,Warren Zaïre-Emery,3/8/2006,French,14,Midfielder,33,19,2022,2022,60000000
96,Nuno Mendes,6/19/2002,Portuguese,24,Defender,25,19,2022,2020,55000000
97,Chancel Mbemba,8/8/1994,Congolese,8,Defender,99,20,2022,2013,15000000
98,Pierre-Emile Højbjerg,8/5/1995,Danish,9,Midfielder,23,20,2024,2013,18000000
99,Azzedine Ounahi,4/19/2000,Moroccan,20,Midfielder,8,20,2023,2018,12000000
100,Faris Moumbagna,7/1/2000,Cameroonian,5,Forward,14,20,2024,2021,10000000
101,Alexandre Lacazette,5/28/1991,French,14,Forward,10,21,2022,2010,9000000
102,Georges Mikautadze,10/31/2000,Georgian,15,Forward,69,21,2024,2019,20000000
103,Moussa Niakhaté,3/8/1996,French,14,Defender,19,21,2024,2014,16000000
104,Nemanja Matić,8/1/1988,Serbian,27,Midfielder,31,21,2024,2007,3000000
105,Corentin Tolisso,8/3/1994,French,14,Midfielder,8,21,2022,2013,5000000
106,Amin Sarr,3/11/2001,Swedish,31,Midfielder,27,21,2023,2020,4000000
107,Vanderson Campos,6/21/2001,Brazilian,4,Defender,2,22,2022,2020,20000000
108,Krépin Diatta,2/25/1999,Senegalese,26,Forward,27,22,2021,2017,12000000
109,Mohammed Salisu,4/17/1999,Ghanian,32,Defender,22,22,2023,2018,15000000
110,Takumi Minamino,1/16/1995,Japanese,33,Forward,18,22,2022,2012,20000000
